timestamp,activity,language,executionTime,cpuUsage,energy,co2,carbonIntensity
2026-04-15T08:23:11Z,coding,python,2.341,34.2,0.000018,0.01274,708
2026-04-15T08:45:33Z,coding,cpp,0.412,61.5,0.000009,0.00637,708
2026-04-15T09:12:05Z,ml_training,python,48.230,88.7,0.000892,0.63174,708
2026-04-15T09:58:44Z,coding,python,5.102,42.1,0.000051,0.03611,708
2026-04-15T10:30:22Z,coding,cpp,1.233,73.4,0.000028,0.01982,708
2026-04-15T11:05:17Z,ml_training,python,120.880,91.2,0.002412,1.70771,708
2026-04-15T11:55:09Z,coding,python,8.765,38.9,0.000077,0.05452,708
2026-04-15T12:30:00Z,coding,cpp,0.234,55.2,0.000005,0.00354,708
2026-04-15T13:45:21Z,gaming,none,3600.000,82.3,0.058700,41.559,708
2026-04-15T14:50:33Z,coding,python,15.443,45.6,0.000163,0.11540,708
2026-04-15T15:20:11Z,ml_training,python,245.600,93.1,0.005023,3.55628,708
2026-04-15T16:00:44Z,coding,cpp,3.102,68.9,0.000067,0.04744,708
2026-04-15T16:45:00Z,coding,python,0.891,29.4,0.000006,0.00425,708
2026-04-15T17:20:33Z,ml_training,python,89.200,90.5,0.001761,1.24685,708
2026-04-15T18:00:00Z,gaming,none,7200.000,85.1,0.118200,83.665,708
2026-04-16T08:15:22Z,coding,python,3.567,36.8,0.000031,0.01916,369
2026-04-16T09:00:45Z,coding,cpp,0.789,65.3,0.000016,0.00590,369
2026-04-16T09:45:12Z,ml_training,python,67.800,89.4,0.001298,0.47890,369
2026-04-16T10:30:55Z,coding,python,12.340,41.2,0.000118,0.04354,369
2026-04-16T11:15:33Z,coding,cpp,2.456,71.8,0.000055,0.02030,369
2026-04-16T12:00:00Z,ml_training,python,180.450,92.3,0.003645,1.34501,369
2026-04-16T13:30:22Z,coding,python,6.234,39.5,0.000058,0.02140,369
2026-04-16T14:00:11Z,coding,cpp,1.102,58.7,0.000022,0.00812,369
2026-04-16T15:00:44Z,gaming,none,1800.000,79.6,0.028400,10.480,369
2026-04-16T16:30:00Z,coding,python,22.567,47.3,0.000244,0.09004,369
2026-04-16T17:00:33Z,ml_training,python,312.100,94.2,0.006443,2.37747,369
2026-04-16T17:45:00Z,coding,cpp,4.567,69.2,0.000101,0.03727,369
2026-04-17T08:30:11Z,coding,python,1.234,31.5,0.000009,0.00050,56
2026-04-17T09:15:44Z,coding,cpp,0.345,59.8,0.000006,0.00034,56
2026-04-17T10:00:22Z,ml_training,python,55.670,87.6,0.001024,0.05734,56
2026-04-17T10:45:33Z,coding,python,9.102,43.7,0.000089,0.00498,56
2026-04-17T11:30:04Z,coding,cpp,1.890,72.1,0.000043,0.00241,56
2026-04-17T12:15:11Z,ml_training,python,210.330,91.8,0.004256,0.23834,56
2026-04-17T13:00:44Z,gaming,none,5400.000,83.4,0.087800,4.917,56
2026-04-17T14:30:22Z,coding,python,4.567,38.2,0.000041,0.00230,56
2026-04-17T15:15:55Z,ml_training,python,445.200,95.1,0.009234,0.51710,56
2026-04-17T16:00:33Z,coding,cpp,2.234,67.4,0.000049,0.00274,56
2026-04-18T08:00:00Z,coding,python,7.890,40.1,0.000073,0.03504,474
2026-04-18T08:45:33Z,coding,cpp,1.567,66.2,0.000034,0.01632,474
2026-04-18T09:30:22Z,ml_training,python,98.450,90.2,0.001945,0.92193,474
2026-04-18T10:15:44Z,coding,python,3.234,35.7,0.000028,0.01327,474
2026-04-18T11:00:11Z,coding,cpp,0.678,62.4,0.000013,0.00616,474
2026-04-18T11:45:00Z,ml_training,python,156.780,92.7,0.003187,1.51066,474
2026-04-18T12:30:33Z,gaming,none,2700.000,81.7,0.043400,20.572,474
2026-04-18T13:45:22Z,coding,python,18.900,44.8,0.000200,0.09480,474
2026-04-18T14:30:55Z,ml_training,python,380.120,93.8,0.007812,3.70289,474
2026-04-18T15:15:33Z,coding,cpp,3.456,70.5,0.000077,0.03651,474
2026-04-18T16:00:00Z,coding,python,0.567,28.9,0.000004,0.00190,474
